リスト番号,山名,読み,都道府県,標高,百名山・他,備考
1,礼文岳,れぶんだけ,北海道,490,"花の百名山
新・花の百名山","離島
森林限界
花の浮島"
2,利尻山,りしりざん,北海道,1721,"日本百名山
花の百名山
新・花の百名山","利尻富士
成層火山
離島"
3,雌阿寒岳,めあかんだけ,北海道,1499,"日本百名山
花の百名山","雄阿寒岳
阿寒湖
成層火山"
4,大雪山,たいせつざん,北海道,2291,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山
北海道の最高峰","主峰は旭岳(成層火山)
カルデラ
大雪山国立公園"
5,藻岩山,もいわやま,北海道,531,"",札幌市街夜景
6,羊蹄山,ようていざん,北海道,1898,"日本百名山
一等三角点百名山",成層火山
7,恵山,えさん,北海道,618,"","成層火山
溶岩ドーム"
8,大尽山,おおづくしやま,青森県,828,"",""
9,八甲田山,はっこうだざん,青森県,1585,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山","カルデラ
樹氷(霧氷)"
10,岩木山,いわきさん,青森県,1625,"日本百名山
花の百名山
一等三角点百名山
青森県の最高峰",成層火山
11,白神岳,しらかみだけ,青森県,1235,"日本二百名山
一等三角点百名山",世界遺産
12,七時雨山,ななしぐれやま,岩手県,1060,"",""
13,岩手山,いわてさん,岩手県,2038,"日本百名山
一等三角点百名山
岩手県の最高峰",成層火山
14,栗駒山,くりこまやま,"岩手県, 宮城県",1627,"日本二百名山
新・花の百名山
一等三角点百名山",成層火山
15,蔵王山,ざおうさん,"山形県, 宮城県",1841,"日本百名山
宮城県の最高峰","奥羽山脈
樹氷"
16,秋田駒ヶ岳,あきたこまがたけ,秋田県,1637,"日本二百名山
花の百名山
新・花の百名山
一等三角点百名山
秋田県の最高峰","十和田八幡平国立公園
カルデラ"
17,太平山,たいへいざん,秋田県,1170,日本三百名山,県立自然公園
18,鳥海山,ちょうかいさん,"秋田県, 山形県",2236,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山
山形県の最高峰",成層火山
19,月山,がっさん,山形県,1984,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山",成層火山
20,大朝日岳,おおあさひだけ,山形県,1870,"日本百名山
花の百名山",磐梯朝日国立公園
21,西吾妻山,にしあづまさん,"山形県, 福島県",2035,"日本百名山
花の百名山",磐梯朝日国立公園
22,霊山,りょうぜん,福島県,825,"",阿武隈高地
23,一切経山,いっさいきょうやま,福島県,1949,"",吾妻連峰
24,安達太良山,あだたらやま,福島県,1728,"日本百名山
花の百名山",成層火山
25,磐梯山,ばんだいさん,福島県,1819,"日本百名山
花の百名山","磐梯朝日国立公園
成層火山
猪苗代湖"
26,奥久慈男体山,おくくじなんたいさん,茨城県,654,"",阿武隈高地
27,筑波山,つくばさん,茨城県,877,日本百名山,日本百名山の中で最も標高が低い
28,男体山,なんたいさん,栃木県,2486,"日本百名山
一等三角点百名山","日光国立公園
成層火山
中禅寺湖"
29,谷川岳,たにがわだけ,"群馬県, 新潟県",1977,日本百名山,三国山脈
30,荒船山,あらふねやま,"群馬県, 長野県",1423,日本二百名山,""
31,両神山,りょうかみさん,埼玉県,1723,日本百名山,""
32,烏場山,からすばやま,千葉県,267,"",房総丘陵
33,雲取山,くもとりやま,"東京都, 埼玉県, 山梨県",2017,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山
東京都の最高峰","秩父多摩国立公園、
東京都最高峰"
34,天上山,てんじょうさん,東京都,572,"",""
35,蛭ヶ岳,ひるがたけ,神奈川県,1673,"日本百名山
神奈川県の最高峰",丹沢山地の最高峰
36,神山,かみやま,神奈川県,1438,"","富士伊豆箱根国立公園
芦ノ湖"
37,ドンデン山,どんでんやま,新潟県,940,"",佐渡島
38,平ヶ岳,ひらがたけ,"新潟県, 群馬県",2141,"日本百名山
新・花の百名山",""
39,妙高山,みょうこうさん,新潟県,2454,"日本百名山
一等三角点百名山","頸城山塊
カルデラ
上信越高原国立公園"
40,雨飾山,あまかざりやま,"新潟県, 長野県",1963,日本百名山,""
41,朝日岳,あさひだけ,"富山県, 新潟県",2418,日本三百名山,"後立山連峰
栂海新道"
42,剱岳,つるぎだけ,富山県,2999,"日本百名山
日本の山一覧 (高さ順)(第22位)",剱沢大雪渓(日本三大雪渓)
43,立山,たてやま,富山県,3015,"日本百名山
一等三角点百名山
富山県の最高峰
日本の山一覧 (高さ順)(第20位)","立山カルデラ
ライチョウ(雷鳥)
黒部立山アルペンルート
室堂"
44,人形山,にんぎょうさん,"富山県, 岐阜県",1726,日本三百名山,""
45,白山,はくさん,"石川県, 岐阜県",2702,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山
石川県の最高峰
日本の山一覧 (高さ順)(第90位)","白山国立公園
豪雪地帯
室堂
白山神社"
46,荒島岳,あらしまだけ,福井県,1524,"日本百名山
一等三角点百名山",九頭竜川
47,金峰山,きんぷさん,"山梨県, 長野県",2599,日本百名山,秩父多摩国立公園
48,甲斐駒ヶ岳,かいこまがだけ,"山梨県, 長野県",2967,"日本百名山
新・花の百名山
一等三角点百名山
日本の山一覧 (高さ順)(第24位)","花崗岩
駒ヶ岳神社
摩利支天
黒戸尾根"
49,鳳凰山,ほうおうざん,山梨県,2840,"日本百名山
花の百名山
新・花の百名山
日本の山一覧 (高さ順)(第50位)",オベリスク
50,農鳥岳,のうとりだけ,"静岡県, 山梨県",3026,"日本二百名山
日本の山一覧 (高さ順)(第15位)",白峰三山
51,櫛形山,くしがたやま,山梨県,2052,花の百名山,アヤメ平
52,志賀山,しがさん,長野県,2037,花の百名山,志賀高原
53,四阿山,あずまやさん,"長野県, 群馬県",2354,日本百名山,レンゲツツジ
54,白馬岳,しろうまだけ,"長野県, 富山県",2932,"日本百名山
花の百名山
新・花の百名山
一等三角点百名山
日本の山一覧 (高さ順)(第26位)","白馬大雪渓(日本三大雪渓)
後立山連峰"
55,唐松岳,からまつだけ,"富山県, 長野県",2696,"日本三百名山
日本の山一覧 (高さ順)(第92位)","八方池
後立山連峰"
56,爺ヶ岳,じいがたけ,"富山県, 長野県",2670,"日本三百名山
日本の山一覧 (高さ順)(第99位)","柏原新道
後立山連峰"
57,燕岳,つばくろだけ,長野県,2763,"日本二百名山
花の百名山
日本の山一覧 (高さ順)(第76位)","合戦尾根
コマクサ
花崗岩"
58,槍ヶ岳,やりがたけ,長野県,3180,"日本百名山
花の百名山
日本の山一覧 (高さ順)(第5位)","槍ヶ岳山荘
槍沢
北アルプスのスカイツリー"
59,霧ヶ峰,きりがみね,長野県,1925,"日本百名山
花の百名山",車山
60,赤岳,あかだけ,"長野県, 山梨県",2899,"日本百名山
花の百名山
一等三角点百名山
日本の山一覧 (高さ順)(第33位)",八ヶ岳の主峰
61,仙丈ヶ岳,せんじょうがたけ,"長野県, 山梨県",3033,"日本百名山
花の百名山
新・花の百名山
日本の山一覧 (高さ順)(第17位)","南アルプスの女王
圏谷（カール）"
62,木曽駒ヶ岳,きそこまがたけ,長野県,2956,"日本百名山
一等三角点百名山
日本の山一覧 (高さ順)(第25位)","中央アルプスの主峰
駒ヶ岳ロープウェイ
千畳敷カール
駒ヶ岳神社"
63,御嶽山,おんたけさん,長野県,3067,"日本百名山
一等三角点百名山
日本の山一覧 (高さ順)(第14位)","巨大な独立峰
火口湖
スキー場"
64,奥穂高岳,おくほたかだけ,"岐阜県, 長野県",3190,"日本百名山
岐阜県の最高峰
日本の山一覧 (高さ順)(第3位)","ジャンダルム
上高地
北アルプスの最高峰"
65,乗鞍岳,のりくらだけ,"岐阜県, 長野県",3026,"日本百名山
一等三角点百名山
日本の山一覧 (高さ順)(第19位)","火口湖
乗鞍スカイライン
畳平
夏山スキー"
66,大日ヶ岳,だいにちがたけ,岐阜県,1709,日本二百名山,"白山国立公園
大日如来
スキー場"
67,天城山,あまぎさん,静岡県,1406,"日本百名山
花の百名山",富士伊豆箱根国立公園
68,沼津アルプス,ぬまづあるぷす,静岡県,392,"",""
69,富士山,ふじさん,"静岡県, 山梨県",3776,"日本百名山
静岡県・山梨県の最高峰
日本の山一覧 (高さ順)(第1位)",富士伊豆箱根国立公園
70,塩見岳,しおみだけ,"静岡県, 長野県",3047,"日本百名山
日本の山一覧 (高さ順)(第16位)","鉄の兜（かぶと）
南アルプスの中央部"
71,赤石岳,あかいしだけ,"静岡県, 長野県",3120,"日本百名山
一等三角点百名山
日本の山一覧 (高さ順)(第7位)",""
72,鳳来寺山,ほうらいじさん,愛知県,684,"","湯谷温泉
鳳来寺山パークウェイ"
73,大台ケ原山,おおだいがはらやま,"奈良県, 三重県",1695,"日本百名山
花の百名山
一等三角点百名山
三重県の最高峰",多雨地帯
74,武奈ヶ岳,ぶながたけ,滋賀県,1214,"日本二百名山
花の百名山",比良山系の最高峰
75,愛宕山,あたごやま,京都府,924,"",愛宕神社の総本山
76,岩湧山,いわわきさん,大阪府,897,"",カヤトの高原
77,六甲山,ろっこうさん,兵庫県,931,日本三百名山,""
78,氷ノ山,ひょうのせん,"兵庫県, 鳥取県",1510,"日本二百名山
新・花の百名山
一等三角点百名山
兵庫県の最高峰",""
79,釈迦ヶ岳,しゃかがだけ,奈良県,1800,"日本二百名山
一等三角点百名山",大峯奥駈道
80,烏帽子山,えぼしやま,和歌山県,909,"",""
81,大山,だいせん,鳥取県,1729,"日本百名山
花の百名山
鳥取県の最高峰",伯耆富士
82,三瓶山,さんべさん,島根県,1126,"日本二百名山
花の百名山
一等三角点百名山",""
83,蒜山,ひるぜん,"岡山県, 鳥取県",1202,"日本二百名山
花の百名山",蒜山高原
84,弥山,みせん,広島県,530,"",宮島、厳島神社
85,東鳳翩山,ひがしほうべんさん,山口県,734,"",""
86,剣山,つるぎさん,徳島県,1955,"日本百名山
一等三角点百名山
徳島県の最高峰","笹原の穏やかな山容
安徳天皇ゆかりの剣伝説"
87,飯野山,いいのやま,香川県,422,"",讃岐富士
88,石鎚山,いしづちやま,愛媛県,1982,"日本百名山
花の百名山
新・花の百名山
愛媛県の最高峰",修験者の山
89,稲叢山,いなむらやま,高知県,1506,"",""
90,英彦山,ひこさん,"福岡県, 大分県",1200,"日本二百名山
一等三角点百名山",""
91,黒髪山,くろかみやま,佐賀県,516,"",""
92,普賢岳,ふげんだけ,長崎県,1359,"日本二百名山
花の百名山
一等三角点百名山
長崎県の最高峰",雲仙
93,阿蘇山,あそさん,熊本県,1592,"日本百名山
新・花の百名山","大型の阿蘇カルデラ
内輪山"
94,由布岳,ゆふだけ,大分県,1583,"日本二百名山
一等三角点百名山","双耳峰
トロイデ型の活火山"
95,久住山,くじゅうさん,大分県,1787,"日本百名山
花の百名山
一等三角点百名山
大分県の最高峰","九重山
ミヤマキリシマ"
96,祖母山,そぼさん,"宮崎県, 大分県",1756,"日本百名山
花の百名山
一等三角点百名山
宮崎県の最高峰",""
97,高千穂峰,たかちほのみね,宮崎県,1574,"日本二百名山
花の百名山
新・花の百名山",""
98,開聞岳,かいもんだけ,鹿児島県,924,"日本百名山
新・花の百名山","薩摩富士
成層火山
美しい円錐形"
99,永田岳,ながただけ,鹿児島県,1886,"",屋久島三岳
100,於茂登岳,おもとだけ,沖縄県,526,沖縄県の最高峰,石垣島
