リスト番号,山名,読み,都道府県,標高,花,備考
1,礼文岳,れぶんだけ,北海道,490,オオカサモチ,"レブンアツモリソウ、レブンコザクラ
レブンウスユキソウ
花の百名山、新日本百名山"
2,利尻山,りしりざん,北海道,1721,ボタンキンバイ,"リシリヒナゲシ、リシリリンドウ
利尻富士
花の百名山
日本百名山、新日本百名山"
3,暑寒別岳,しょかんべつだけ,北海道,1491,エゾオヤマリンドウ,"雨竜沼湿原
花の百名山
日本二百名山"
4,大雪山,たいせつざん,北海道,2291,チョウノスケソウ,"エゾコザクラ
黒岳、小泉岳、大雪山国立公園
花の百名山
日本百名山、新日本百名山
北海道の最高峰"
5,夕張岳,ゆうばりだけ,北海道,1668,ユウバリソウ,"花の百名山
日本二百名山"
6,羅臼岳,らうすだけ,北海道,1660,チシマツガザクラ,"シレトコスミレ
世界遺産、知床国立公園
花の百名山、日本百名山"
7,斜里岳,しゃりだけ,北海道,1547,エゾゼンテイカ,"花の百名山
日本百名山"
8,目国内岳,めくんないだけ,北海道,1220,イワウメ,"ニセコ積丹小樽海岸国定公園
ニセコ連峰"
9,アポイ岳,アポイだけ,北海道,811,ミヤマハンショウヅル,"アポイアズマギク
ヒダカソウ
日高山脈"
10,オロフレ山,オロフレやま,北海道,1230,ツマトリソウ,"支笏洞爺国立公園
オロフレ峠"
11,室蘭岳,むろらんだけ,北海道,911,オクエゾサイシン,鷲別岳
12,白雲山,はくうんざん,北海道,1186,ナガバキタアザミ,然別湖
13,北八甲田山,きたはっこうださん,青森県,1584,サンカヨウ,日本百名山
14,八幡平,はちまんたい,"秋田県, 岩手県",1613,タテヤマリンドウ,"花の百名山
日本百名山"
15,種山高原,たねやまこうげん,岩手県,870,ムシカリ,種山ヶ原
16,秋田駒ヶ岳,あきたこまがたけ,"秋田県, 岩手県",1637,キオン,"日本二百名山
新日本百名山
秋田県の最高峰"
17,早池峰山,はやちねさん,岩手県,1917,ハヤチネウスユキソウ,"ヒメコザクラ
花の百名山
日本百名山"
18,姫神山,ひめかみやま,岩手県,1124,ガンコウラン,"石川啄木
日本二百名山"
19,栗駒山,くりこまやま,"宮城県, 秋田県, 岩手県",1627,クルマユリ,"花の百名山
日本二百名山
新日本百名山"
20,鳥海山,ちょうかいさん,"秋田県, 山形県",2236,ニッコウキスゲ,"花の百名山
日本百名山、新日本百名山
山形県の最高峰"
21,月山,がっさん,山形県,1984,ウズラバハクサンチドリ,"花の百名山
日本百名山、新日本百名山"
22,鎌倉岳,かまくらだけ,福島県,967,クリンソウ,田村市
23,大滝根山,おおたきねやま,福島県,1192,シャクナゲ,"花の百名山
日本三百名山"
24,会津駒ヶ岳,あいづこまがたけ,福島県,2133,コバイケイソウ,"尾瀬国立公園
日本百名山"
25,燧ヶ岳,ひうちがたけ,福島県,2356,キンコウカ,"尾瀬国立公園
日本百名山
福島県の最高峰"
26,日光白根山,にっこうしらねさん,"栃木県, 群馬県",2578,シラネアオイ,"日光国立公園
日本百名山
栃木県・群馬県の最高峰"
27,上州武尊山,じょうじゅうほたかやま,群馬県,2158,ウメバチソウ,"武尊山
日本百名山"
