リスト番号,山名,読み,都道府県,標高,花,備考
1,高尾山,たかおさん,東京都,599,フクジュソウ,"年間登山者数世界一
ミシュランガイド三ツ星の観光地"
2,大楠山,おおぐすやま,神奈川県,241,フユノハナワラビ,三浦半島最高峰
3,御前山,ごぜんやま,東京都,1405,カタクリ,奥多摩三山
4,三頭山,みとうさん,東京都,1531,ハシリドコロ,日本三百名山
5,幕山,まくやま,神奈川県,625,タツナミソウ,湯河原
6,武甲山,ぶこうさん,埼玉県,1304,セツブンソウ,日本二百名山
7,高鈴山,たかすずさん,茨城県,623,センブリ,"一等三角点
電波塔"
8,天城山,あまぎさん,静岡県,1405,ヒメシャラ,"富士箱根伊豆国立公園
日本百名山
新日本百名山"
9,三筋山,みすじやま,静岡県,812,ホソバコガク,伊豆半島
10,大山,おおやま,神奈川県,1252,ウラシマソウ,"丹沢の山
日本三百名山"
11,川苔山,かわのりやま,東京都,1363,アズマイチゲ,川乗山
12,雲取山,くもとりやま,"東京都, 埼玉県, 山梨県",2017,フシグロセンノウ,"新・花の百名山
日本百名山
新日本百名山
各都道府県の最高峰"
13,地蔵岳,じぞうだけ,群馬県,1673,アツモリソウ,"赤城山
日本百名山"
14,黒檜山,くろびさん,群馬県,1827,クサタチバナ,"赤城山
日本百名山"
15,至仏山,しぶつさん,"群馬県, 栃木県, 新潟県, 福島県",2228,アズマギク,"尾瀬国立公園
日本百名山"
16,大岳山,おおだけさん,東京都,1266,イワウチワ,日本二百名山
17,高水山,たかみずさん,東京都,759,ツルリンドウ,高水三山
18,鶏頂山,けいちょうざん,栃木県,1756,ショウジョウバカマ,"那須火山帯
高原山
日本三百名山"
19,大菩薩峠,だいぼさつとうげ,山梨県,1897,ギンバイソウ,"大菩薩嶺
新・花の百名山
日本百名山"
20,御岳山,みたけさん,東京都,929,オケラ,"青梅市
ケーブルカー
新・花の百名山"
21,生藤山,しょうとうさん,"東京都, 神奈川県",990,ホタルカズラ,奥多摩山域の南端
22,石割山,いしわれやま,山梨県,1143,オオバギボウシ,山中湖の東北端
23,尾瀬沼,おぜぬま,"福島県, 新潟県, 栃木県, 群馬県",1410,ギョウジャニンニク,尾瀬国立公園
24,八幡平,はちまんたい,"秋田県, 岩手県",1613,イソツツジ,"新・花の百名山
日本百名山"
25,大滝根山,おおたきねやま,福島県,1192,シロヤシオ,"新・花の百名山
日本三百名山"
26,鎌倉岳,かまくらだけ,福島県,967,コバノトネリコ,尾瀬国立公園
27,早池峰山,はやちねさん,岩手県,1917,チシマコザクラ,"ハヤチネウスユキソウ
新・花の百名山
日本百名山"
28,田代山,たしろやま,福島県,1971,キンコウカ,"帝釈山脈
尾瀬国立公園"
29,鳥海山,ちょうかいさん,"秋田県, 山形県",2236,チョウカイフスマ,"新・花の百名山
日本百名山
新日本百名山
各都道府県の最高峰"
30,月山,がっさん,山形県,1984,ウズラバハクサンチドリ,"新・花の百名山
日本百名山
新日本百名山"
31,羽黒山,はぐろさん,山形県,414,ミヤマヨメナ,出羽三山
32,栗駒山,くりこまやま,"宮城県, 秋田県, 岩手県",1627,ヒナザクラ,"新・花の百名山
日本二百名山
新日本百名山"
33,安達太良山,あだたらやま,福島県,1699,ツリガネツツジ,"日本百名山
新日本百名山"
34,五葉山,ごようざん,岩手県,1351,ミネザクラ,"北上山地
日本三百名山"
35,利尻山,りしりざん,北海道,1721,シコタンハコベ,"リシリヒナゲシ、リシリリンドウ
利尻富士
新・花の百名山
日本百名山、新日本百名山"
36,礼文岳,れぶんだけ,北海道,490,レブンソウ,"レブンアツモリソウ、レブンコザクラ
レブンウスユキソウ
新・花の百名山、新日本百名山"
37,余市岳,よいちだけ,北海道,1488,エゾカンゾウ,日本三百名山
38,夕張岳,ゆうばりだけ,北海道,1668,ユウバリソウ,"ユウバリコザクラ
新・花の百名山
日本二百名山"
39,大千軒岳,だいせんげんだけ,北海道,1072,サルメンエビネ,日本三百名山
40,斜里岳,しゃりだけ,北海道,1547,タカネナデシコ,"新・花の百名山
日本百名山"
41,大雪山,たいせつざん,北海道,2291,イワウメ,"エゾコザクラ、エゾノツガザクラ
エゾツツジ
大雪山国立公園
新・花の百名山
日本百名山、新日本百名山
各都道府県の最高峰"
42,アポイ岳,アポイだけ,北海道,811,アポイマンテマ,"アポイアズマギク
ヒダカソウ
日高山脈
新・花の百名山"
43,富良野岳,ふらのだけ,北海道,1912,ハクサンイチゲ,"エゾノハクサンイチゲ
十勝連峰の最南端
大雪山国立公園"
