リスト番号,リスト番号,リスト番号,リスト番号,山名,読み,都道府県,標高,花,花,山系,,備考,備考,備考,備考,百名山・他
1,2,35,2,利尻岳,りしりだけ,北海道,1721,シコタンハコベ,ボタンキンバイ,利尻島,,利尻礼文サロベツ国立公園,"利尻富士
成層火山
離島","リシリヒナゲシ、リシリリンドウ
利尻富士
新・花の百名山
日本百名山、新日本百名山","リシリヒナゲシ、リシリリンドウ
利尻富士
花の百名山
日本百名山、新日本百名山","日本百名山
花の百名山
新・花の百名山"
2,,46,6,羅臼岳,らうすだけ,北海道,1660,チシマツガザクラ,チシマツガザクラ,知床半島,,"知床 (世界遺産)
知床国立公園",,"シレトコスミレ
世界遺産、知床国立公園
新花の百名山
日本百名山","シレトコスミレ
世界遺産、知床国立公園
花の百名山、日本百名山"
3,,40,7,斜里岳,しゃりだけ,北海道,1547,タカネナデシコ,エゾゼンテイカ,知床半島,,斜里岳道立自然公園,,"新・花の百名山
日本百名山","花の百名山
日本百名山"
4,,,,阿寒岳,あかんだけ,北海道,1499,,,独立峰,,阿寒摩周国立公園,,,
5,4,41,4,大雪山,たいせつざん,北海道,2291,イワウメ,チョウノスケソウ,大雪山系,,"大雪山国立公園
北海道の最高峰","主峰は旭岳(成層火山)
カルデラ
大雪山国立公園","エゾコザクラ、エゾノツガザクラ
エゾツツジ
大雪山国立公園
新・花の百名山
日本百名山、新日本百名山
各都道府県の最高峰","エゾコザクラ
黒岳、小泉岳、大雪山国立公園
花の百名山
日本百名山、新日本百名山
北海道の最高峰","日本百名山
花の百名山
新・花の百名山
一等三角点百名山
北海道の最高峰"
6,,,,トムラウシ,とむらうし,北海道,2141,,,大雪山系,,大雪山国立公園,,,
7,,44,,十勝岳,とかちだけ,北海道,2077,イワブクロ,,大雪山系,,大雪山国立公園,,"大雪山国立公園
活火山
日本百名山",
8,,,,幌尻岳,ぽろしりだけ,北海道,2052,,,日高山脈,,日高山脈襟裳国定公園,,,
9,,,,後方羊蹄山,しりべしやま,北海道,1898,,,独立峰,,"支笏洞爺国立公園
蝦夷富士",,,
10,10,,,岩木山,いわきさん,青森県,1625,,,独立峰,,"津軽国定公園
津軽富士
青森県の最高峰",成層火山,,,"日本百名山
花の百名山
一等三角点百名山
青森県の最高峰"
11,,,,八甲田山,はっこうださん,青森県,1584,,,奥羽山脈,,十和田八幡平国立公園,,,
12,,,,八幡平,はちまんたい,"岩手県, 秋田県",1614,,,奥羽山脈,,十和田八幡平国立公園,,,
13,13,,,岩手山,いわてさん,岩手県,2038,,,奥羽山脈,,"十和田八幡平国立公園
岩手県の最高峰",成層火山,,,"日本百名山
一等三角点百名山
岩手県の最高峰"
14,,27,17,早池峰,はやちね,岩手県,1917,チシマコザクラ,ハヤチネウスユキソウ,北上山地,,早池峰国定公園,,"ハヤチネウスユキソウ
新・花の百名山
日本百名山","ヒメコザクラ
花の百名山
日本百名山"
15,18,29,20,鳥海山,ちょうかいさん,"秋田県, 山形県",2236,チョウカイフスマ,ニッコウキスゲ,出羽山地,,"鳥海国定公園
山形県の最高峰",成層火山,"新・花の百名山
日本百名山
新日本百名山
各都道府県の最高峰","花の百名山
日本百名山、新日本百名山
山形県の最高峰","日本百名山
花の百名山
新・花の百名山
一等三角点百名山
山形県の最高峰"
16,19,30,21,月山,がっさん,山形県,1984,ウズラバハクサンチドリ,ウズラバハクサンチドリ,出羽山地,,磐梯朝日国立公園,成層火山,"新・花の百名山
日本百名山
新日本百名山","花の百名山
日本百名山、新日本百名山","日本百名山
花の百名山
新・花の百名山
一等三角点百名山"
17,,,,朝日岳,あさひだけ,"山形県, 新潟県",1870,,,朝日山地,,磐梯朝日国立公園,,,
