番号,山名,別名,山頂名,読み,都道府県,標高,所在地,地図,緯度,経度,三角点名等,備考
1,知床岳,"","",しれとこだけ,北海道,1254,知床・阿寒,https://maps.gsi.go.jp/#15/44.23583333333333/145.2738888888889,44°14′09″,145°16′26″,知床岬,""
2,硫黄山,"","",いおうざん,北海道,1562,知床・阿寒,https://maps.gsi.go.jp/#15/44.13333333333333/145.1613888888889,44°08′00″,145°09′41″,硫黄山,""
3,知円別岳,"","",ちえんべつだけ,北海道,1544,知床・阿寒,https://maps.gsi.go.jp/#15/44.124722222222225/145.1686111111111,44°07′29″,145°10′07″,標高点,""
4,サシルイ岳,"","",さしるいだけ,北海道,1564,知床・阿寒,https://maps.gsi.go.jp/#15/44.09527777777778/145.1436111111111,44°05′43″,145°08′37″,標高点,""
5,羅臼岳,"","",らうすだけ,北海道,1661,知床・阿寒,https://maps.gsi.go.jp/#15/44.075833333333335/145.12222222222223,44°04′33″,145°07′20″,測定点,Ｈ26三角点標高改訂に伴う標高改訂
6,遠音別岳,"","",おんねべつだけ,北海道,1330,知床・阿寒,https://maps.gsi.go.jp/#15/43.99333333333333/145.01333333333332,43°59′36″,145°00′48″,遠音別岳,Ｈ20三角点標高改訂
7,海別岳,"","",うなべつだけ,北海道,1419,知床・阿寒,https://maps.gsi.go.jp/#15/43.87694444444445/144.87666666666667,43°52′37″,144°52′36″,海別岳,""
8,斜里岳,"","",しゃりだけ,北海道,1547,知床・阿寒,https://maps.gsi.go.jp/#15/43.76555555555556/144.71777777777777,43°45′56″,144°43′04″,標高点,""
9,標津岳,"","",しべつだけ,北海道,1061,知床・阿寒,https://maps.gsi.go.jp/#15/43.668055555555554/144.70499999999998,43°40′05″,144°42′18″,標高点,""
10,藻琴山,"","",もことやま,北海道,1000,知床・阿寒,https://maps.gsi.go.jp/#15/43.70444444444445/144.3311111111111,43°42′16″,144°19′52″,藻琴山,""
11,アトサヌプリ,硫黄山,"",あとさぬぷり（いおうざん）,北海道,508,知床・阿寒,https://maps.gsi.go.jp/#15/43.61027777777778/144.43861111111113,43°36′37″,144°26′19″,標高点,Ｈ13地形図改測に伴う標高改訂
12,カムイヌプリ,摩周岳,"",かむいぬぷり（ましゅうだけ）,北海道,857,知床・阿寒,https://maps.gsi.go.jp/#15/43.57222222222222/144.56083333333333,43°34′20″,144°33′39″,標高点,""
13,雄阿寒岳,"","",おあかんだけ,北海道,1370,知床・阿寒,https://maps.gsi.go.jp/#15/43.45416666666667/144.16472222222222,43°27′15″,144°09′53″,雄阿寒岳,""
14,雌阿寒岳,"","",めあかんだけ,北海道,1499,知床・阿寒,https://maps.gsi.go.jp/#15/43.38638888888889/144.00861111111112,43°23′11″,144°00′31″,標高点,""
15,雌阿寒岳,"",阿寒富士,めあかんだけ<あかんふじ>,北海道,1476,知床・阿寒,https://maps.gsi.go.jp/#15/43.37416666666667/144.0063888888889,43°22′27″,144°00′23″,阿寒富士,""
16,ウコタキヌプリ,"","",うこたきぬぷり,北海道,747,白糠丘陵,https://maps.gsi.go.jp/#15/43.208333333333336/143.79749999999999,43°12′30″,143°47′51″,標高点,""
17,礼文岳,"","",れぶんだけ,北海道,490,礼文・利尻,https://maps.gsi.go.jp/#15/45.3725/141.01583333333335,45°22′21″,141°00′57″,礼文岳,""
18,利尻山,利尻富士,"",りしりざん（りしりふじ）,北海道,1721,礼文・利尻,https://maps.gsi.go.jp/#15/45.17861111111111/141.24194444444444,45°10′43″,141°14′31″,標高点,""
19,幌尻山,"","",ぽろしりやま,北海道,427,宗谷丘陵,https://maps.gsi.go.jp/#15/45.16555555555556/142.00861111111112,45°09′56″,142°00′31″,幌尻山,""
20,パンケ山,"","",ぱんけざん,北海道,632,宗谷丘陵,https://maps.gsi.go.jp/#15/44.856944444444444/142.1497222222222,44°51′25″,142°08′59″,下沢岳,""
21,ポロヌプリ山,"","",ぽろぬぷりざん,北海道,841,北見山地,https://maps.gsi.go.jp/#15/44.961666666666666/142.42027777777776,44°57′42″,142°25′13″,標高点,""
22,敏音知岳,"","",びんねしりだけ,北海道,703,北見山地,https://maps.gsi.go.jp/#15/44.893055555555556/142.23444444444442,44°53′35″,142°14′04″,浜峰尻,""
23,函岳,"","",はこだけ,北海道,1129,北見山地,https://maps.gsi.go.jp/#15/44.66583333333333/142.41222222222223,44°39′57″,142°24′44″,函岳,""
24,ピヤシリ山,"","",ぴやしりやま,北海道,987,北見山地,https://maps.gsi.go.jp/#15/44.433611111111105/142.58416666666668,44°26′01″,142°35′03″,飛鏃岳,""
25,欝岳,"","",うつだけ,北海道,818,北見山地,https://maps.gsi.go.jp/#15/44.291666666666664/143.0825,44°17′30″,143°04′57″,欝岳,""
26,ウェンシリ岳,"","",うぇんしりだけ,北海道,1142,北見山地,https://maps.gsi.go.jp/#15/44.22888888888889/142.8763888888889,44°13′44″,142°52′35″,察来岳,""
27,渚滑岳,"","",しょこつだけ,北海道,1345,北見山地,https://maps.gsi.go.jp/#15/44.040277777777774/142.9175,44°02′25″,142°55′03″,渚滑岳,""
28,天塩岳,"","",てしおだけ,北海道,1558,北見山地,https://maps.gsi.go.jp/#15/43.964444444444446/142.88805555555555,43°57′52″,142°53′17″,天塩岳,""
29,チトカニウシ山,"","",ちとかにうしやま,北海道,1446,北見山地,https://maps.gsi.go.jp/#15/43.906666666666666/143.04861111111111,43°54′24″,143°02′55″,千登蟹山,""
30,仁頃山,"","",にころやま,北海道,829,北見山地,https://maps.gsi.go.jp/#15/43.87833333333333/143.71833333333333,43°52′42″,143°43′06″,似頃山,""
31,ニセイカウシュッペ山,"","",にせいかうしゅっぺやま,北海道,1883,石狩山地,https://maps.gsi.go.jp/#15/43.78/142.98527777777775,43°46′48″,142°59′07″,標高点,ニセイカウシュペ山
32,武利岳,"","",むりいだけ,北海道,1876,石狩山地,https://maps.gsi.go.jp/#15/43.73305555555556/143.17638888888888,43°43′59″,143°10′35″,無類山,""
33,武華山,"","",むかやま,北海道,1759,石狩山地,https://maps.gsi.go.jp/#15/43.70583333333334/143.16055555555556,43°42′21″,143°09′38″,大山,""
34,北見富士,"","",きたみふじ,北海道,1291,石狩山地,https://maps.gsi.go.jp/#15/43.69361111111111/143.29583333333332,43°41′37″,143°17′45″,三角山,""
35,大雪山,"",旭岳,たいせつざん<あさひだけ>,北海道,2291,石狩山地,https://maps.gsi.go.jp/#15/43.66361111111111/142.85416666666666,43°39′49″,142°51′15″,瓊多窟,Ｈ20三角点標高改訂
36,大雪山,"",黒岳,たいせつざん<くろだけ>,北海道,1984,石狩山地,https://maps.gsi.go.jp/#15/43.6975/142.92027777777776,43°41′51″,142°55′13″,温泉岳,""
37,大雪山,"",北鎮岳,たいせつざん<ほくちんだけ>,北海道,2244,石狩山地,https://maps.gsi.go.jp/#15/43.69277777777778/142.87972222222223,43°41′34″,142°52′47″,標高点,""
38,大雪山,"",愛別岳,たいせつざん<あいべつだけ>,北海道,2113,石狩山地,https://maps.gsi.go.jp/#15/43.70777777777778/142.85722222222222,43°42′28″,142°51′26″,三方崩,Ｈ20三角点標高改訂
39,大雪山,"",白雲岳,たいせつざん<はくうんだけ>,北海道,2230,石狩山地,https://maps.gsi.go.jp/#15/43.66111111111111/142.90583333333333,43°39′40″,142°54′21″,大石狩岳,""
40,忠別岳,"","",ちゅうべつだけ,北海道,1963,石狩山地,https://maps.gsi.go.jp/#15/43.59111111111111/142.89444444444445,43°35′28″,142°53′40″,忠別岳,""
41,トムラウシ山,"","",とむらうしやま,北海道,2141,石狩山地,https://maps.gsi.go.jp/#15/43.52722222222222/142.8488888888889,43°31′38″,142°50′56″,富良牛山,""
42,オプタテシケ山,"","",おぷたてしけやま,北海道,2013,石狩山地,https://maps.gsi.go.jp/#15/43.47027777777778/142.75166666666667,43°28′13″,142°45′06″,美瑛岳,Ｈ26三角点標高改訂
43,美瑛岳,"","",びえいだけ,北海道,2052,石狩山地,https://maps.gsi.go.jp/#15/43.44/142.70666666666665,43°26′24″,142°42′24″,おびたてしけ,""
44,十勝岳,"","",とかちだけ,北海道,2077,石狩山地,https://maps.gsi.go.jp/#15/43.41777777777777/142.6863888888889,43°25′04″,142°41′11″,標高点,""
45,上ホロカメットク山,"","",かみほろかめっとくやま,北海道,1920,石狩山地,https://maps.gsi.go.jp/#15/43.405/142.67166666666665,43°24′18″,142°40′18″,標高点,""
46,富良野岳,"","",ふらのだけ,北海道,1912,石狩山地,https://maps.gsi.go.jp/#15/43.39361111111111/142.635,43°23′37″,142°38′06″,神女徳岳,""
47,三国山,"","",みくにやま,北海道,1541,石狩山地,https://maps.gsi.go.jp/#15/43.59527777777778/143.14638888888888,43°35′43″,143°08′47″,三国嶺,""
